match_id,shooter,shooting_team,goalkeeper,xg,outcome,shot_x,shot_y,minute,period,is_goal,is_save,is_on_target,distance_to_goal,danger_zone
3938639,Georges Mikautadze,Georgia,Fehmi Mert Günok,0.1569,Off T,107.1,41.9,34,1,0,0,0,13.039171752837683,Penalty area close
3938639,Giorgi Kochorashvili,Georgia,Fehmi Mert Günok,0.0446,Blocked,98.4,37.4,36,1,0,0,0,21.755918734909812,Penalty area edge
3938639,Kaan Ayhan,Turkey,Giorgi Mamardashvili,0.0766,Blocked,107.1,34.6,39,1,0,0,0,13.984634424968002,Penalty area close
3938639,Ferdi Erenay Kadıoğlu,Turkey,Giorgi Mamardashvili,0.0045,Off T,73.2,39.2,40,1,0,0,0,46.806837107414125,Outside box
3938639,Mert Müldür,Turkey,Giorgi Mamardashvili,0.3919,Saved,111.7,46.2,45,2,0,1,1,10.360019305001318,Penalty area close
3938639,Barış Alper Yılmaz,Turkey,Giorgi Mamardashvili,0.0891,Blocked,107.9,49.7,47,2,0,0,0,15.50806241927082,Penalty area close
3938639,Heorhii Tsitaishvili,Georgia,Fehmi Mert Günok,0.0106,Saved,112.5,22.7,48,2,0,1,1,18.85576834817399,Penalty area edge
3938639,Georges Mikautadze,Georgia,Fehmi Mert Günok,0.0712,Blocked,111.1,36.6,51,2,0,0,0,9.527329111561125,6-yard box
3938639,Hakan Çalhanoğlu,Turkey,Giorgi Mamardashvili,0.0484,Saved,93.2,31.5,56,2,0,1,1,28.11565400270817,Outside box
3938639,Kenan Yildiz,Turkey,Giorgi Mamardashvili,0.0128,Blocked,101.2,24.7,59,2,0,0,0,24.239018131929353,Penalty area edge
3938639,Mert Müldür,Turkey,Giorgi Mamardashvili,0.0269,Blocked,96.6,51.5,59,2,0,0,0,26.073166282597906,Outside box
3938639,Hakan Çalhanoğlu,Turkey,Giorgi Mamardashvili,0.0208,Off T,95.8,46.1,60,2,0,0,0,24.95696295625732,Penalty area edge
3938639,Khvicha Kvaratskhelia,Georgia,Fehmi Mert Günok,0.1281,Off T,109.4,30.4,61,2,0,0,0,14.301048912579802,Penalty area close
3938639,Arda Güler,Turkey,Giorgi Mamardashvili,0.0187,Goal,95.5,53.4,64,2,1,0,1,27.925078334715554,Outside box
3938639,Orkun Kökçü,Turkey,Giorgi Mamardashvili,0.351,Wayward,108.9,36.5,68,2,0,0,0,11.638728452885214,Penalty area close
3938639,Giorgi Kochorashvili,Georgia,Fehmi Mert Günok,0.3774,Post,107.6,41.5,69,2,0,0,0,12.49039631076613,Penalty area close
3938639,Orkun Kökçü,Turkey,Giorgi Mamardashvili,0.003,Wayward,52.0,38.1,71,2,0,0,0,68.02653893885827,Outside box
3938639,Luka Lochoshvili,Georgia,Fehmi Mert Günok,0.051,Wayward,111.2,32.3,74,2,0,0,0,11.693160394008114,Penalty area close
3938639,Yusuf Yazıcı,Turkey,Giorgi Mamardashvili,0.1589,Saved,111.8,37.6,86,2,0,1,1,8.544003745317534,6-yard box
3938639,Budu Zivzivadze,Georgia,Fehmi Mert Günok,0.0572,Blocked,114.8,32.5,92,2,0,0,0,9.126335518706291,6-yard box
3938639,Giorgi Kochorashvili,Georgia,Fehmi Mert Günok,0.339,Off T,111.4,37.4,92,2,0,0,0,8.984430978086476,6-yard box
3938639,Zuriko Davitashvili,Georgia,Fehmi Mert Günok,0.0764,Blocked,108.9,45.6,95,2,0,0,0,12.432618388738549,Penalty area close
3938639,Muhammed Kerem Aktürkoğlu,Turkey,Giorgi Mamardashvili,0.4724,Goal,96.1,52.9,96,2,1,0,1,27.159160517217764,Outside box
3938638,Viktor Tsygankov,Ukraine,Florin Constantin Niţă,0.0464,Blocked,97.1,35.4,6,1,0,0,0,23.357439928211317,Penalty area edge
