match_id,player_name,team_name,type_name,gk_name,xg,outcome,shot_x,shot_y
3938642,Patrik Schick,Czech Republic,Shot,Giorgi Mamardashvili,0.047342736,Wayward,109.3,41.0
3938642,Ondřej Lingr,Czech Republic,Shot,Giorgi Mamardashvili,0.02231607,Blocked,115.5,52.2
3938642,David Jurásek,Czech Republic,Shot,Giorgi Mamardashvili,0.038487274,Wayward,99.7,31.4
3938642,Anzor Mekvabishvili,Georgia,Shot,Jindřich Staněk,0.05346131,Off T,102.9,34.8
3938642,Ondřej Lingr,Czech Republic,Shot,Giorgi Mamardashvili,0.16812286,Post,115.1,44.1
3938642,Patrik Schick,Czech Republic,Shot,Giorgi Mamardashvili,0.719015,Goal,117.7,36.5
3938642,Ladislav Krejčí,Czech Republic,Shot,Giorgi Mamardashvili,0.059734687,Off T,111.4,44.7
3938642,Matěj Jurásek,Czech Republic,Shot,Giorgi Mamardashvili,0.03587616,Saved,95.4,44.6
3938642,Khvicha Kvaratskhelia,Georgia,Shot,Jindřich Staněk,0.023518495,Off T,91.7,36.6
3938642,Ladislav Krejčí,Czech Republic,Shot,Giorgi Mamardashvili,0.005695847,Blocked,82.5,28.6
3938642,David Jurásek,Czech Republic,Shot,Giorgi Mamardashvili,0.02393963,Off T,91.8,35.6
3938642,Mojmír Chytil,Czech Republic,Shot,Giorgi Mamardashvili,0.066270776,Off T,112.8,32.5
3938642,Ondřej Lingr,Czech Republic,Shot,Giorgi Mamardashvili,0.06684302,Saved,100.9,45.2
3938642,Matěj Jurásek,Czech Republic,Shot,Giorgi Mamardashvili,0.0065820687,Off T,92.7,59.5
3938642,Matěj Jurásek,Czech Republic,Shot,Giorgi Mamardashvili,0.029686315,Saved,101.0,23.0
3938642,Tomáš Holeš,Czech Republic,Shot,Giorgi Mamardashvili,0.01932125,Blocked,88.9,41.4
3938642,Saba Lobzhanidze,Georgia,Shot,Jindřich Staněk,0.30646315,Off T,108.1,49.2
3938639,Kaan Ayhan,Turkey,Shot,Giorgi Mamardashvili,0.109281614,Off T,113.7,37.4
3938639,Hakan Çalhanoğlu,Turkey,Shot,Giorgi Mamardashvili,0.0104925465,Blocked,99.0,59.3
3938639,Abdülkerim Bardakcı,Turkey,Shot,Giorgi Mamardashvili,0.11773408,Off T,113.4,36.5
3938639,Kaan Ayhan,Turkey,Shot,Giorgi Mamardashvili,0.047329877,Post,98.2,32.6
3938639,Anzor Mekvabishvili,Georgia,Shot,Fehmi Mert Günok,0.027525524,Saved,92.7,40.9
3938639,Georges Mikautadze,Georgia,Shot,Fehmi Mert Günok,0.030906457,Off T,101.3,25.7
3938639,Kenan Yildiz,Turkey,Shot,Giorgi Mamardashvili,0.010085153,Saved,111.6,20.7
3938639,Hakan Çalhanoğlu,Turkey,Shot,Giorgi Mamardashvili,0.04039659,Off T,103.3,31.0
3938639,Orkun Kökçü,Turkey,Shot,Giorgi Mamardashvili,0.021431247,Blocked,92.6,29.1
3938639,Mert Müldür,Turkey,Shot,Giorgi Mamardashvili,0.04871227,Goal,102.6,48.7
3938639,Orkun Kökçü,Turkey,Shot,Giorgi Mamardashvili,0.32288,Wayward,111.6,45.6
3938639,Heorhii Tsitaishvili,Georgia,Shot,Fehmi Mert Günok,0.008763675,Saved,110.0,20.4
3938639,Georges Mikautadze,Georgia,Shot,Fehmi Mert Günok,0.19899806,Goal,111.2,49.7
3938639,Georges Mikautadze,Georgia,Shot,Fehmi Mert Günok,0.15692246,Off T,107.1,41.9
3938639,Giorgi Kochorashvili,Georgia,Shot,Fehmi Mert Günok,0.04459064,Blocked,98.4,37.4
3938639,Kaan Ayhan,Turkey,Shot,Giorgi Mamardashvili,0.07663289,Blocked,107.1,34.6
